Subject	Object	IRI
CHEBI:26398	purine ribonucleoside triphosphate	http://purl.obolibrary.org/obo/CHEBI_26398
CHEBI:26399	purine ribonucleoside	http://purl.obolibrary.org/obo/CHEBI_26399
CHEBI:26400	purine ribonucleotide	http://purl.obolibrary.org/obo/CHEBI_26400
CHEBI:26401	purines	http://purl.obolibrary.org/obo/CHEBI_26401
CHEBI:26469	quaternary nitrogen compound	http://purl.obolibrary.org/obo/CHEBI_26469
CHEBI:26561	ribonucleotide	http://purl.obolibrary.org/obo/CHEBI_26561
CHEBI:26562	ribose phosphate	http://purl.obolibrary.org/obo/CHEBI_26562
CHEBI:26607	saturated fatty acid	http://purl.obolibrary.org/obo/CHEBI_26607
CHEBI:26658	sesquiterpenoid	http://purl.obolibrary.org/obo/CHEBI_26658
CHEBI:26666	short-chain fatty acid	http://purl.obolibrary.org/obo/CHEBI_26666
CHEBI:26708	sodium atom	http://purl.obolibrary.org/obo/CHEBI_26708
CHEBI:26712	sodium molecular entity	http://purl.obolibrary.org/obo/CHEBI_26712
CHEBI:26714	sodium salt	http://purl.obolibrary.org/obo/CHEBI_26714
CHEBI:26739	sphingolipid	http://purl.obolibrary.org/obo/CHEBI_26739
CHEBI:26764	steroid hormone	http://purl.obolibrary.org/obo/CHEBI_26764
CHEBI:26816	carbohydrate phosphate	http://purl.obolibrary.org/obo/CHEBI_26816
CHEBI:26819	sulfuric ester	http://purl.obolibrary.org/obo/CHEBI_26819
CHEBI:26820	sulfates	http://purl.obolibrary.org/obo/CHEBI_26820
CHEBI:26833	sulfur atom	http://purl.obolibrary.org/obo/CHEBI_26833
CHEBI:26835	sulfur molecular entity	http://purl.obolibrary.org/obo/CHEBI_26835
CHEBI:26836	sulfuric acid	http://purl.obolibrary.org/obo/CHEBI_26836
CHEBI:26873	terpenoid	http://purl.obolibrary.org/obo/CHEBI_26873
CHEBI:26912	oxolanes	http://purl.obolibrary.org/obo/CHEBI_26912
CHEBI:26932	tetrapyrrole	http://purl.obolibrary.org/obo/CHEBI_26932
CHEBI:26935	tetraterpenoid	http://purl.obolibrary.org/obo/CHEBI_26935
CHEBI:27024	toluenes	http://purl.obolibrary.org/obo/CHEBI_27024
CHEBI:27027	micronutrient	http://purl.obolibrary.org/obo/CHEBI_27027
CHEBI:27081	transition element atom	http://purl.obolibrary.org/obo/CHEBI_27081
CHEBI:27162	tryptamines	http://purl.obolibrary.org/obo/CHEBI_27162
CHEBI:27171	organic heterobicyclic compound	http://purl.obolibrary.org/obo/CHEBI_27171
CHEBI:27177	L-tyrosine derivative	http://purl.obolibrary.org/obo/CHEBI_27177
CHEBI:27207	univalent carboacyl group	http://purl.obolibrary.org/obo/CHEBI_27207
CHEBI:27325	xanthophyll	http://purl.obolibrary.org/obo/CHEBI_27325
CHEBI:27369	zwitterion	http://purl.obolibrary.org/obo/CHEBI_27369
CHEBI:27547	zeaxanthin	http://purl.obolibrary.org/obo/CHEBI_27547
CHEBI:27584	aldosterone	http://purl.obolibrary.org/obo/CHEBI_27584
CHEBI:27594	carbon atom	http://purl.obolibrary.org/obo/CHEBI_27594
CHEBI:28017	starch	http://purl.obolibrary.org/obo/CHEBI_28017
CHEBI:28044	phenylalanine	http://purl.obolibrary.org/obo/CHEBI_28044
CHEBI:28057	amylopectin	http://purl.obolibrary.org/obo/CHEBI_28057
CHEBI:28087	glycogen	http://purl.obolibrary.org/obo/CHEBI_28087
CHEBI:28102	amylose	http://purl.obolibrary.org/obo/CHEBI_28102
CHEBI:28425	alpha-carotene	http://purl.obolibrary.org/obo/CHEBI_28425
CHEBI:28479	D-tyrosine	http://purl.obolibrary.org/obo/CHEBI_28479
CHEBI:28616	carbamic acid	http://purl.obolibrary.org/obo/CHEBI_28616
CHEBI:28659	phosphorus atom	http://purl.obolibrary.org/obo/CHEBI_28659
CHEBI:28790	serotonin	http://purl.obolibrary.org/obo/CHEBI_28790
