Subject	Object
CHEBI:16899	D-mannitol
CHEBI:16899	D-Mannitol
CHEBI:16914	2-hydroxybenzoic acid
CHEBI:16914	2-HYDROXYBENZOIC ACID
CHEBI:16919	N-[amino(imino)methyl]-N-methylglycine
CHEBI:16947	2-hydroxypropane-1,2,3-tricarboxylate
CHEBI:16953	(2S)-2-acetamidobutanedioate
CHEBI:169570	(E,2R,3R)-2-[[(E)-hexadec-3-enoyl]amino]-3-hydroxyoctadec-4-ene-1-sulonic acid
CHEBI:16958	beta-alanine
CHEBI:16958	beta-Alanine
CHEBI:16958	BETA-ALANINE
CHEBI:16958	3-aminopropanoic acid
CHEBI:16962	17,21-dihydroxypregn-4-ene-3,11,20-trione
CHEBI:16990	bilirubin
CHEBI:16990	Bilirubin
CHEBI:16990	3,18-diethenyl-2,7,13,17-tetramethyl-1,19-dioxo-1,10,19,22,23,24-hexahydro-21H-biline-8,12-dipropanoic acid
CHEBI:16991	deoxyribonucleic acids
CHEBI:16995	oxalic acid
CHEBI:16995	Oxalic acid
CHEBI:16995	OXALIC ACID
CHEBI:17015	1-deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)-D-ribitol
CHEBI:17026	pregn-4-ene-3,20-dione
CHEBI:17029	(1->4)-2-acetamido-2-deoxy-beta-D-glucan
CHEBI:17033	biliverdin
CHEBI:17033	Biliverdin
CHEBI:17050	2-hydroxy-3-(phosphonooxy)propanoic acid
CHEBI:17084	2-hydroxypentanedioic acid
CHEBI:17089	glycoproteins
CHEBI:17113	meso-erythritol
CHEBI:17113	MESO-ERYTHRITOL
CHEBI:1712	3alpha-hydroxy-5beta-pregnan-20-one
CHEBI:17120	hexanoate
CHEBI:17126	3-hydroxy-4-(trimethylammonio)butanoate
CHEBI:17148	butane-1,4-diamine
CHEBI:17151	meso-xylitol
CHEBI:17151	(2R,3r,4S)-pentane-1,2,3,4,5-pentol
CHEBI:17154	pyridine-3-carboxamide
CHEBI:17158	2-oxopropanal
CHEBI:17158	2-Oxopropanal
CHEBI:17160	estra-1,3,5(10)-triene-3,17alpha-diol
CHEBI:17170	N-methylmethanamine
CHEBI:17202	5'-inosinic acid
CHEBI:17202	5'-Inosinic acid
CHEBI:17203	PROLINE
CHEBI:17203	L-proline
CHEBI:17203	L-Proline
CHEBI:17221	7-methyl-3-methylideneocta-1,6-diene
CHEBI:17230	homocysteine
CHEBI:17230	Homocysteine
CHEBI:17230	2-amino-4-sulfanylbutanoic acid
CHEBI:17234	glucose
CHEBI:17234	gluco-hexose
CHEBI:17234	Glucose
CHEBI:17243	2-(2-ethylhexyloxycarbonyl)benzoic acid
CHEBI:17245	carbon(II) oxide
CHEBI:17245	carbon monoxide
CHEBI:17245	carbon monooxide
CHEBI:17245	Carbon monoxide
CHEBI:17245	CARBON MONOXIDE
CHEBI:17252	17-hydroxypregn-4-ene-3,20-dione
CHEBI:17263	3-hydroxyestra-1,3,5(10)-trien-17-one
CHEBI:17268	myo-inositol
CHEBI:17268	myo-Inositol
CHEBI:17282	2-hydroxy-3-(1H-indol-3-yl)propanoate
CHEBI:17287	N-[imino(phosphonoamino)methyl]-N-methylglycine
CHEBI:17303	17-methyl-7,8-didehydro-4,5alpha-epoxymorphinan-3,6alpha-diol
CHEBI:17306	alpha-D-glucopyranosyl-(1->4)-D-glucose
