IRI	Direct	Inherited
http://purl.obolibrary.org/obo/AfPO_0000168	0	0
http://purl.obolibrary.org/obo/AfPO_0000170	0	0
http://purl.obolibrary.org/obo/AfPO_0000171	0	0
http://purl.obolibrary.org/obo/AfPO_0000330	0	0
http://purl.obolibrary.org/obo/AfPO_0000361	0	0
http://purl.obolibrary.org/obo/AfPO_0000362	0	0
http://purl.obolibrary.org/obo/AfPO_0000339	0	0
http://purl.obolibrary.org/obo/AfPO_0000406	0	0
http://purl.obolibrary.org/obo/AfPO_0000486	0	0
http://purl.obolibrary.org/obo/AfPO_0000495	0	0
http://purl.obolibrary.org/obo/AfPO_0000325	0	0
http://purl.obolibrary.org/obo/AfPO_0000328	0	0
http://purl.obolibrary.org/obo/AfPO_0000337	0	0
http://purl.obolibrary.org/obo/AfPO_0000519	0	0
http://purl.obolibrary.org/obo/AfPO_0000151	0	0
http://purl.obolibrary.org/obo/AfPO_0000530	0	0
http://purl.obolibrary.org/obo/AfPO_0000224	0	0
http://purl.obolibrary.org/obo/AfPO_0000417	0	0
http://purl.obolibrary.org/obo/AfPO_0000420	0	0
http://purl.obolibrary.org/obo/AfPO_0000424	0	0
http://purl.obolibrary.org/obo/AfPO_0000427	0	0
http://purl.obolibrary.org/obo/AfPO_0000442	0	0
http://purl.obolibrary.org/obo/AfPO_0000443	0	0
http://purl.obolibrary.org/obo/AfPO_0000523	0	0
http://purl.obolibrary.org/obo/AfPO_0000532	0	0
http://purl.obolibrary.org/obo/AfPO_0000541	0	0
http://purl.obolibrary.org/obo/AfPO_0000258	0	0
http://purl.obolibrary.org/obo/AfPO_0000259	0	0
http://purl.obolibrary.org/obo/AfPO_0000260	0	0
http://purl.obolibrary.org/obo/AfPO_0000261	0	0
http://purl.obolibrary.org/obo/AfPO_0000262	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0002	0	0
http://purl.obolibrary.org/obo/AfPO_0000288	0	0
http://purl.obolibrary.org/obo/AfPO_0000542	0	0
http://purl.obolibrary.org/obo/AfPO_0000563	0	0
http://purl.obolibrary.org/obo/AfPO_0000580	0	0
http://purl.obolibrary.org/obo/AfPO_0000545	0	0
http://purl.obolibrary.org/obo/AfPO_0000561	0	0
http://purl.obolibrary.org/obo/AfPO_0000369	0	0
http://purl.obolibrary.org/obo/AfPO_0000069	0	0
http://purl.obolibrary.org/obo/AfPO_0000116	0	0
